

########## SHEET: K-CURE 암공공(병기조사_간암)_데이터셋(목록)정보 ##########
K-CURE 암 공공 병기조사_간암 DB 데이터 카탈로그 레이아웃
제공기관 : 국가암데이터센터
연번 | 데이터셋 한글명(테이블 한글명) | 데이터셋명(테이블명) | 변수(항목)개수
1 | 암_공공_병기조사_간암_DB_암등록 | CS_LV_RGST | 11
2 | 암_공공_병기조사_간암_DB_사망 | CS_LV_DEATH | 3
3 | 암_공공_병기조사_간암_DB_자격및보험료 | CS_LV_BFC | 6
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 22
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 13
6 | 암_공공_병기조사_간암_DB_상병내역 | CS_LV_T400 | 6
7 | 암_공공_병기조사_간암_DB_원외처방내역 | CS_LV_T530 | 10
8 | 암_공공_병기조사_간암_DB_일반건강검진_대상자 | CS_LV_G1E_OBJ | 2
9 | 암_공공_병기조사_간암_DB_일반건강검진_문진_0708 | CS_LV_G1Q_0708 | 24
10 | 암_공공_병기조사_간암_DB_일반건강검진_문진_0917 | CS_LV_G1Q_0917 | 31
11 | 암_공공_병기조사_간암_DB_일반건강검진_문진_1823 | CS_LV_G1Q_1823 | 88
12 | 암_공공_병기조사_간암_DB_일반건강검진_결과및판정 | CS_LV_G1E | 21
13 | 암_공공_병기조사_간암_DB_암문진_간암_0708 | CS_LV_CLV_CQ_RST_0708 | 67
14 | 암_공공_병기조사_간암_DB_암문진_간암_0923 | CS_LV_CLV_CQ_RST_0923 | 82
15 | 암_공공_병기조사_간암_DB_암검진_간암_0708 | CS_LV_CLV_RST_0708 | 53
16 | 암_공공_병기조사_간암_DB_암검진_간암_0923 | CS_LV_CLV_RST_0923 | 60


########## SHEET: K-CURE 암공공(병기조사_간암)_데이터셋(항목)정보 ##########
K-CURE 암 공공 병기조사_간암 DB 데이터 카탈로그 레이아웃
제공기관 : 국가암데이터센터
※ 카탈로그에 기재된 설명 외의 자세한 코드값은 보건의료빅데이터개방시스템(https://opendata.hira.or.kr) 참고
연번 | 데이터셋명(테이블 한글명) | 데이터셋명(테이블명) | SUB NO | 변수 (컬럼한글명) | 변수명 (컬럼명) | 설명 | 값 | 형식 (Data Type)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 20 | 진료결과구분코드 | DGRSLT_TP_CD | 진료결과구분코드 | - 요양급여비용명세서 상 최종 진료일의 환자상태를 구분하여 기재 1: 계속, 2: 이송, 3: 회송, 4: 사망, 5: 기타, 8: 전과, 9: 퇴원 | VARCHAR(1)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 21 | 입원도착경로구분코드 | IPAT_ARIV_PTH_TP | 입원도착경로구분코드 | - 도착경로+입원경로 <도착경로> 1: 타 기관 경유, 2: 응급구조대, 3: 기타 <입원경로> 1: 응급실, 2: 외래 | VARCHAR(2)
4 | 암_공공_병기조사_간암_DB_명세서일반내역 | CS_LV_T200 | 22 | 표시과목코드 | SHW_SBJT_CD | 의원급의 경우 요양기관현황의 표시과목코드, 병원급 이상은 청구된 진료과목코드 기준 | 의원급의 경우 요양기관현황의 표시과목코드, 병원급 이상은 청구된 진료과목코드 기준 | VARCHAR(2)
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 1 | 명세서조인키 | MID | 각 테이블을 연결하여 한 건의 명세서를 생성할 수 있는 대체식별자 | 최대 9자리의 정수로 이루어진 임의의 난수 | VARCHAR(10)
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 2 | 줄번호 | LN_NO | 진료내역 줄번호 | 진료내역 줄번호 | VARCHAR(4)
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 3 | 항목코드 | CZ_ITEM_CD | 항목코드 명세서 항별 목코드(항코드 + 목코드) | * '코드값_코드명정보' 참고 | VARCHAR(5)
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 4 | 분류코드구분 | DIV_TY_CD | 명세서의 분류 코드를 구분할 수 있는 구분자 | 0: 각목소계, 1: 수가, 2: 준용수가, 3: 보험등재약, 4: 수입원료약, 5: 약가주성분등재수입, 7: 협약재료, 8: 치료재료 [한방] A: 한방수가, B: 한방준용수가, C: 한방약가, H: 치료재료, X: 약국수가, Y: 요양기관조제제약, D: 기준처방코드, E: 한약재제품코드 | VARCHAR(1)
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 5 | 분류코드 | DIV_CD | 수가, 약가, 재료대 보험코드  - 진료행위코드： 전체제공  - 치료재료코드: 앞 5자리 제공  - 약가코드: NULL로 가명처리(일반명코드로 제공) | 수가, 약가, 재료대 보험코드 | VARCHAR(9)
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 6 | 1회투약량 | FQ1_MDCT_QTY | 환자에게 1회 투약한 양 | 환자에게 1회 투약한 양 | DECIMAL(22,4)
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 7 | 1일투약량 | DY1_MDCT_QTY | 환자에게 1일 투약한 양 | 환자에게 1일 투약한 양 | DECIMAL(22,4)
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 8 | 1일투여량 또는 실시횟수 | DY1_INJC_QTY_EXEC_FQ | 1일 투여량을 기재, 의약품 및 처방내역 의약품의 경우 1일 투약횟수 기재 | 1일 투여량을 기재, 의약품 및 처방내역 의약품의 경우 1일 투약횟수 기재 | DECIMAL(22,4)
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 9 | 총투여일수 또는 실시횟수 | TOT_INJC_DDCNT_EXEC_FQ | 총투여일수 또는 실시횟수 | 총투여일수 또는 실시횟수 | DECIMAL(22,4)
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 10 | 총사용량 | TOT_USE_QTY_OR_EXEC_FQ | 1회 투약량 × 1일 투약량 × 총 투여일수 또는 실시횟수 | 1회 투약량 × 1일 투약량 × 총 투여일수 또는 실시횟수 | DECIMAL(22,4)
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 11 | 진료예외구분코드 | EXP_TP_CD | 의약분업 예외 사항에 해당되어 원내 조제 투약이 이루어진 경우 예외구분 코드를 기재 | 00: 해당사항 없음, 01: 약국이 없는 지역, 재해발생지역, 11: 응급환자, 13: 정신보건법에 의한 정신질환자, 15: 전염병 예방법에 의한 제 1종 전염병환자, 29: 협진(한양방/양한방/양양방) 환자, 52: 주사제를 원내 투약한 경우(2001.11.15.신설), 53: 항암제중 주사제, 55: 검사, 수술 및 처치에 사용하는 의약품, 61: 군인, 경찰, 소방공무원에 대하여 조제하는 경우, 99: 퇴장방지의 약품의 사용 장려 비용을 청구하는 경우 | VARCHAR(2)
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 12 | 1_2구분코드 | SP1_SP2_TP_CD | 진료내역 코드의 요양기관 종별 가산율 적용여부를 구분 | 1: 기본진료료, 약제, 치료재료, 위탁검사 및 혈액료 등 상대가치점수표상의 요양기관 종별가산율이 적용되지 아니한 항목,  2: 요양기관 종별가산율이 적용되는 진료행위 항목 | VARCHAR(1)
5 | 암_공공_병기조사_간암_DB_진료내역 | CS_LV_T300 | 13 | 일반명코드 | GNL_CD | 일반명코드 ※ 약제 연구활용계획서 작성 필요(주성분 코드 4자리 제공) | 의약품의 주성분코드 | VARCHAR(4)
6 | 암_공공_병기조사_간암_DB_상병내역 | CS_LV_T400 | 1 | 명세서조인키 | MID | 각 테이블을 연결하여 한 건의 명세서를 생성할 수 있는 대체식별자 | 최대 9자리의 정수로 이루어진 임의의 난수 | VARCHAR(10)
6 | 암_공공_병기조사_간암_DB_상병내역 | CS_LV_T400 | 2 | 일련번호 | SICK_SNO | 수진자 상병 일련번호 | 수진자 상병 일련번호 | VARCHAR(2)
6 | 암_공공_병기조사_간암_DB_상병내역 | CS_LV_T400 | 3 | 상병코드 | SICK_CD | 주ㆍ부상병을 포함한 수진자의 모든 동반상병정보 (한국표준질병·사인분류, KCD 사용) * 상병코드의 최대 4자리까지 제공 * 정신질환코드의 경우 최대 3자리 제공 | 주ㆍ부상병을 포함한 수진자의 모든 동반상병정보 | VARCHAR(4)
6 | 암_공공_병기조사_간암_DB_상병내역 | CS_LV_T400 | 4 | 상병분류구분 | SICK_TY_CD | 상병분류구분 | 1: 주상병, 2: 부상병, 3: 배제진단(확진 이전의 R/O 상병 등) | VARCHAR(1)
6 | 암_공공_병기조사_간암_DB_상병내역 | CS_LV_T400 | 5 | 진료과목코드 | DMD_DGSBJT_CD | 진료를 받은 진료과목(병원급이상) 또는 상병명에 해당하는 진료과목(의원급)을 기재하되, 진료과목이 2개 이상에 해당되는 경우 상병별로 모두 기재 | 00: 일반의, 01: 내과, 02: 신경과, 03: 정신건강의학과, 04: 외과, …, 90: 한방소계 | VARCHAR(2)
6 | 암_공공_병기조사_간암_DB_상병내역 | CS_LV_T400 | 6 | 내과세부전문과목 | IFLD_DTL_SPC_SBJT_CD | 내과세부전문과목 | 00: 내과통합, 01: 소화기내과, 02: 순환기내과, 03: 호흡기내과, 04: 내분비/대사내과, 05: 신장내과, 06: 혈액종양내과, 07: 감염내과, 08: 알레르기내과, 09: 류마티스내과, 10: 산부인과, 11: 소아감염, 12: 소아내분비, 99: 해당사항없음 | VARCHAR(2)
7 | 암_공공_병기조사_간암_DB_원외처방내역 | CS_LV_T530 | 1 | 명세서조인키 | MID | 각 테이블을 연결하여 한 건의 명세서를 생성할 수 있는 대체식별자 | 최대 9자리의 정수로 이루어진 임의의 난수 | VARCHAR(10)
7 | 암_공공_병기조사_간암_DB_원외처방내역 | CS_LV_T530 | 2 | 처방전교부번호 | PRSCP_GRANT_NO | 진료기관에서 처방전 발행시 부여한 처방전교부 일자와 처방전 교부순서에 따른 일련번호 | 진료기관에서 처방전 발행시 부여한 처방전교부 일자와 처방전 교부순서에 따른 일련번호 | VARCHAR(13)
7 | 암_공공_병기조사_간암_DB_원외처방내역 | CS_LV_T530 | 3 | 줄번호 | LN_NO | 원외처방내역 줄번호 | 원외처방내역 줄번호 | VARCHAR(4)
